k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231734,1000,1000,0.01,0.1,roulette,SP,0.01,random,295290,295290,"[292972, 137064, 207434, 96400, 229814, 138914, 283186, 286514, 281718, 295290, 204660]","[259022, 280702, 286514, 281718, 295290, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 9, 9, 9, 8, 8, 8, 4, 4, 6, 7, 7, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,DP,0.01,random,291866,291866,"[279786, 150250, 228104, 96400, 209144, 138914, 283186, 291866, 280282, 291374, 204660]","[279692, 260032, 291866, 280282, 291374, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 7, 9, 4, 4, 6, 8, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,UX,0.01,random,289394,289394,"[279786, 150250, 228104, 96400, 209144, 138914, 283186, 285482, 288646, 289394, 204660]","[279692, 260032, 285482, 288646, 289394, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 8, 7, 8, 9, 8, 4, 4, 6, 9, 9, 9, 7, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,SP,0.02,random,298590,298590,"[292972, 137064, 207434, 96400, 229814, 138914, 269310, 281328, 298590, 297480, 204660]","[259022, 266826, 281328, 298590, 297480, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 9, 9, 7, 7, 8, 4, 4, 7, 9, 9, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,DP,0.02,random,290358,290358,"[279786, 150250, 207434, 117070, 209144, 138914, 283186, 288796, 290358, 284368, 204660]","[279692, 260032, 288796, 290358, 284368, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 7, 9, 9, 7, 8, 4, 4, 6, 9, 9, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,UX,0.02,random,289372,289372,"[279786, 150250, 207434, 96400, 229814, 138914, 283186, 286862, 287288, 289372, 204660]","[259022, 280702, 286862, 287288, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 7, 7, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,SP,0.01,random,294840,294840,"[279786, 150250, 207434, 117070, 209144, 138914, 283186, 285704, 282978, 294840, 204660]","[279692, 260032, 285704, 282978, 294840, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 8, 9, 7, 7, 9, 4, 4, 6, 8, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,DP,0.01,random,289340,289340,"[279786, 150250, 207434, 99888, 226326, 138914, 283186, 289340, 287646, 286536, 204660]","[262510, 277214, 289340, 287646, 286536, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 7, 8, 7, 7, 9, 8, 4, 4, 6, 8, 8, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,UX,0.01,random,290358,290358,"[279786, 150250, 228104, 79218, 226326, 138914, 283186, 286514, 290358, 286650, 204660]","[262510, 277214, 286514, 290358, 286650, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 9, 9, 9, 9, 8, 4, 4, 6, 7, 7, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,SP,0.02,random,293844,293844,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 287662, 282016, 293844, 204660]","[279692, 260032, 287662, 282016, 293844, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 7, 9, 7, 8, 9, 7, 5, 5, 6, 9, 9, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
