k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231734,1000,1000,0.01,0.1,roulette,SP,0.01,random,294840,294840,"[292972, 137064, 228104, 79218, 152646, 212594, 269310, 293310, 289248, 294840, 204660]","[262510, 263338, 293310, 289248, 294840, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 8, 7, 8, 8, 9, 8, 7, 9, 5, 5, 7, 8, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,DP,0.01,random,290156,290156,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 284026, 289340, 290156, 204660]","[262510, 277214, 284026, 289340, 290156, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 8, 9, 8, 8, 7, 7, 5, 5, 6, 9, 9, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,UX,0.01,random,290752,290752,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 285482, 287288, 290752, 204660]","[259022, 280702, 285482, 287288, 290752, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 8, 7, 9, 9, 8, 5, 5, 6, 9, 9, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,SP,0.025,random,292086,292086,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 292086, 284026, 287410, 204660]","[262510, 277214, 292086, 284026, 287410, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 9, 7, 9, 7, 7, 9, 8, 8, 5, 5, 6, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,DP,0.025,random,291790,291790,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 280358, 291790, 291374, 204660]","[259022, 280702, 280358, 291790, 291374, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 8, 7, 8, 7, 7, 9, 8, 9, 5, 5, 6, 7, 7, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,roulette,UX,0.025,random,290358,290358,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 284324, 290358, 288840, 204660]","[259022, 280702, 284324, 290358, 288840, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 9, 9, 9, 9, 8, 5, 5, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,SP,0.01,random,290986,290986,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 287662, 290986, 284874, 204660]","[279692, 260032, 287662, 290986, 284874, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 7, 8, 7, 9, 8, 7, 5, 5, 6, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,DP,0.01,random,292982,292982,"[292972, 137064, 207434, 96400, 156134, 212594, 283186, 286216, 284324, 292982, 204660]","[259022, 280702, 286216, 284324, 292982, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 9, 9, 9, 9, 7, 7, 5, 5, 6, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,UX,0.01,random,293586,293586,"[292972, 137064, 228104, 96400, 135464, 212594, 283186, 288796, 293586, 281140, 204660]","[279692, 260032, 288796, 293586, 281140, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 7, 9, 7, 8, 8, 7, 8, 5, 5, 6, 9, 9, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,SP,0.025,random,294610,294610,"[292972, 137064, 228104, 79218, 152646, 212594, 283186, 286216, 282696, 294610, 204660]","[262510, 277214, 286216, 282696, 294610, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 9, 8, 8, 8, 9, 9, 7, 7, 5, 5, 6, 7, 7, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,DP,0.025,random,290876,290876,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 288796, 283850, 290876, 204660]","[262510, 277214, 288796, 283850, 290876, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 9, 7, 9, 7, 9, 8, 7, 8, 5, 5, 6, 9, 9, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,UX,0.025,random,289372,289372,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 286488, 287662, 289372, 204660]","[262510, 277214, 286488, 287662, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 8, 7, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,SP,0.01,random,290358,290358,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 290358, 286514, 286650, 204660]","[279692, 260032, 290358, 286514, 286650, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 9, 9, 9, 9, 7, 5, 5, 6, 8, 8, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,DP,0.01,random,292590,292590,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 283070, 292590, 287862, 204660]","[259022, 280702, 283070, 292590, 287862, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 9, 7, 7, 8, 7, 8, 8, 9, 5, 5, 6, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,UX,0.01,random,290358,290358,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 290358, 287894, 285270, 204660]","[259022, 280702, 290358, 287894, 285270, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 9, 9, 8, 8, 7, 5, 5, 6, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,SP,0.025,random,294388,294388,"[292972, 137064, 228104, 96400, 135464, 212594, 283186, 285108, 284026, 294388, 204660]","[279692, 260032, 285108, 284026, 294388, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 7, 9, 9, 8, 8, 5, 5, 6, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,DP,0.025,random,288966,288966,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 288866, 288966, 285690, 204660]","[279692, 260032, 288866, 288966, 285690, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 8, 7, 7, 5, 5, 6, 7, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
