k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,solution_generation,cycle_time,station_times,operator_times,violations,best_solution
23121,10000,1000,0.05,0.05,roulette,SP,0.05,random,29691,3,29691,"[27813, 12792, 24732, 7935, 15333, 21135, 24681, 28776, 29691, 28086, 20598]","[25800, 24042, 28776, 29691, 28086, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 7, 8, 9, 7, 8, 8, 9, 5, 5, 6, 7, 7, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,DP,0.05,random,29190,3,29190,"[29064, 11541, 24732, 7935, 20517, 15951, 24681, 28335, 29028, 29190, 20598]","[25800, 24042, 28335, 29028, 29190, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 8, 8, 9, 8, 8, 9, 7, 4, 4, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,UX,0.05,random,28896,7,28896,"[27813, 14730, 22794, 9636, 18816, 15951, 24681, 28869, 28788, 28896, 20598]","[27501, 22341, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,SP,0.1,random,29313,2,29313,"[27813, 14730, 20694, 7935, 17433, 21135, 24681, 29313, 28377, 28863, 20598]","[23700, 26142, 29313, 28377, 28863, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 9, 7, 7, 7, 7, 8, 8, 5, 5, 6, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,DP,0.1,random,29460,0,29460,"[29064, 13479, 22794, 7935, 22722, 11322, 27105, 28617, 28476, 29460, 20598]","[25800, 24042, 28617, 28476, 29460, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 9, 9, 8, 7, 8, 8, 4, 4, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,UX,0.1,random,28902,7,28902,"[27813, 14730, 22794, 7935, 15333, 21135, 24681, 28902, 28788, 28863, 20598]","[25800, 24042, 28902, 28788, 28863, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 9, 8, 8, 7, 7, 7, 8, 5, 5, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,SP,0.15,random,29001,2,29001,"[27813, 14730, 22794, 7935, 20517, 15951, 24681, 28902, 29001, 28650, 20598]","[25800, 24042, 28902, 29001, 28650, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 9, 8, 9, 7, 7, 7, 8, 4, 4, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,DP,0.15,random,29283,4,29283,"[27813, 14730, 22794, 9636, 21021, 11322, 27105, 29103, 29283, 28167, 20598]","[27501, 22341, 29103, 29283, 28167, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 8, 7, 7, 8, 7, 9, 4, 4, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,roulette,UX,0.15,random,28896,9,28896,"[27813, 14730, 22794, 7935, 22722, 13746, 24681, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,rank,SP,0.05,random,29031,4,29031,"[27813, 14730, 20694, 7935, 15228, 23340, 24681, 29031, 28587, 28935, 20598]","[23700, 26142, 29031, 28587, 28935, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 9, 9, 8, 9, 8, 5, 5, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,rank,DP,0.05,random,29001,5,29001,"[27813, 14730, 20694, 7935, 24822, 11322, 27105, 28614, 29001, 28938, 20598]","[23700, 26142, 28614, 29001, 28938, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 9, 7, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,rank,UX,0.05,random,28896,22,28896,"[27813, 12792, 24732, 7935, 13128, 20916, 27105, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,rank,SP,0.1,random,29229,12,29229,"[29064, 13479, 20694, 7935, 22617, 15951, 24681, 28173, 29229, 29151, 20598]","[23700, 26142, 28173, 29229, 29151, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 8, 8, 8, 8, 9, 7, 7, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,rank,DP,0.1,random,29004,6,29004,"[27813, 12792, 24732, 7935, 13128, 23340, 24681, 28818, 28731, 29004, 20598]","[25800, 24042, 28818, 28731, 29004, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 9, 7, 8, 8, 8, 9, 5, 5, 6, 7, 7, 7, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,10000,1000,0.05,0.05,rank,UX,0.1,random,29001,5,29001,"[27813, 12792, 24732, 7935, 22722, 13746, 24681, 28869, 29001, 28683, 20598]","[25800, 24042, 28869, 29001, 28683, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 9, 8, 8, 7, 9, 4, 4, 6, 9, 9, 9, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
